nombre,evasion,categoria,cantidad,complejo,duracion,orientacion,estacion,fecha
Ch2_20181118181010-09.mkv,SI,CASO_1,11,NO,21.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-10.mkv,SI,CASO_1,5,NO,21.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-11.mkv,SI,CASO_1,3,NO,20.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-12.mkv,SI,CASO_1,3,NO,20.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-13.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-14.mkv,SI,CASO_1,2,NO,20.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118181010-15.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-18 18:10:10
Ch2_20181118182809-00.mkv,SI,CASO_1,7,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-01.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-02.mkv,SI,CASO_1,2,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-03.mkv,SI,CASO_1,3,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-04.mkv,SI,CASO_1,2,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-05.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-06.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-07.mkv,SI,CASO_1,8,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-08.mkv,SI,CASO_1,4,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-09.mkv,SI,CASO_1,8,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-10.mkv,SI,CASO_3,1,YES,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-11.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-12.mkv,SI,CASO_1,9,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-13.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118182809-14.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-18 18:28:09
