config,n_videos,total_real,total_pred,TP,FP,FN,TN,precision,recall,f1,accuracy,mae,pct_exact,pct_error_le1,img_path
1,300,351,341,286,55,65,82,0.8387096774193549,0.8148148148148148,0.8265895953757225,0.7540983606557377,0.4,67.66666666666666,94.0,config_1\confusion_matrix_config_1.png
2,300,351,324,281,43,70,84,0.8672839506172839,0.8005698005698005,0.8325925925925926,0.7635983263598326,0.37666666666666665,69.33333333333334,95.0,config_2\confusion_matrix_config_2.png
3,300,351,348,292,56,59,80,0.8390804597701149,0.8319088319088319,0.8354792560801144,0.7638603696098563,0.38333333333333336,68.33333333333333,95.0,config_3\confusion_matrix_config_3.png
4,300,351,331,285,46,66,83,0.8610271903323263,0.811965811965812,0.8357771260997068,0.7666666666666667,0.37333333333333335,70.0,94.33333333333334,config_4\confusion_matrix_config_4.png
5,300,351,378,284,94,67,74,0.7513227513227513,0.8091168091168092,0.7791495198902606,0.6897880539499036,0.5366666666666666,60.66666666666667,89.66666666666666,config_5\confusion_matrix_config_5.png
6,300,351,336,271,65,80,77,0.8065476190476191,0.7720797720797721,0.7889374090247452,0.7058823529411765,0.48333333333333334,61.66666666666667,93.0,config_6\confusion_matrix_config_6.png
7,300,351,402,295,107,56,76,0.7338308457711443,0.8404558404558404,0.7835325365205843,0.6947565543071161,0.5433333333333333,61.33333333333333,89.33333333333333,config_7\confusion_matrix_config_7.png
8,300,351,363,285,78,66,76,0.7851239669421488,0.811965811965812,0.7983193277310925,0.7148514851485148,0.48,61.66666666666667,93.0,config_8\confusion_matrix_config_8.png
9,300,351,386,293,93,58,72,0.7590673575129534,0.8347578347578347,0.7951153324287654,0.7073643410852714,0.5033333333333333,61.33333333333333,91.33333333333333,config_9\confusion_matrix_config_9.png
10,300,351,365,291,74,60,74,0.7972602739726027,0.8290598290598291,0.8128491620111732,0.7314629258517034,0.44666666666666666,62.66666666666667,93.66666666666667,config_10\confusion_matrix_config_10.png
11,300,351,411,299,112,52,73,0.7274939172749392,0.8518518518518519,0.784776902887139,0.6940298507462687,0.5466666666666666,59.66666666666667,90.0,config_11\confusion_matrix_config_11.png
12,300,351,379,297,82,54,76,0.783641160949868,0.8461538461538461,0.8136986301369863,0.7328094302554028,0.4533333333333333,63.33333333333333,92.66666666666666,config_12\confusion_matrix_config_12.png
13,300,351,357,283,74,68,78,0.7927170868347339,0.8062678062678063,0.7994350282485875,0.7176938369781312,0.47333333333333333,61.33333333333333,93.0,config_13\confusion_matrix_config_13.png
14,300,351,332,275,57,76,83,0.8283132530120482,0.7834757834757835,0.8052708638360174,0.7291242362525459,0.44333333333333336,65.0,93.66666666666667,config_14\confusion_matrix_config_14.png
