conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,accuracy,precision,recall,f1_score,accuracy_count,precision_count_macro,recall_count_macro,f1_count_macro,mean_absolute_error_count,mean_squared_error_count
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8533333333333334,0.90625,0.87,0.8877551020408163,0.6766666666666666,0.30300258435851657,0.30142968142968135,0.2995743877124753,0.4,0.5933333333333334
config_2,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/botsort.yaml,150,1.0,0.85,0.9144385026737968,0.855,0.8837209302325582,0.6933333333333334,0.32177128031710306,0.3022766122766123,0.30971345498446334,0.37666666666666665,0.5633333333333334
config_3,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8566666666666667,0.8984771573604061,0.885,0.8916876574307305,0.6833333333333333,0.2651260378943015,0.2533954933954934,0.2562652020055671,0.38333333333333336,0.5566666666666666
config_4,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/botsort.yaml,150,1.0,0.86,0.9114583333333334,0.875,0.8928571428571429,0.7,0.29017204565985055,0.2785159285159285,0.2807054057054057,0.37333333333333335,0.56
config_5,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8333333333333334,0.8712871287128713,0.88,0.8756218905472637,0.6066666666666667,0.24608731497238834,0.26714529914529916,0.2522169188348393,0.5366666666666666,0.9433333333333334
config_6,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/botsort.yaml,150,1.0,0.8266666666666667,0.8814432989690721,0.855,0.868020304568528,0.6166666666666667,0.2654512057762673,0.2749230769230769,0.2682142562973186,0.48333333333333334,0.7833333333333333
config_7,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.87,0.8851674641148325,0.925,0.9046454767726161,0.6133333333333333,0.24624051464759428,0.23263403263403262,0.23575383422652402,0.5433333333333333,1.0166666666666666
config_8,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/botsort.yaml,150,1.0,0.8433333333333334,0.8805970149253731,0.885,0.8827930174563591,0.6166666666666667,0.31113628176641217,0.2995811965811966,0.30328381386962483,0.48,0.7666666666666667
config_9,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8066666666666666,0.8585858585858586,0.85,0.8542713567839196,0.6133333333333333,0.3847056609204947,0.45667443667443663,0.40699811399823477,0.5033333333333333,0.81
config_10,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/botsort.yaml,150,1.0,0.8333333333333334,0.8712871287128713,0.88,0.8756218905472637,0.6266666666666667,0.4671230332084595,0.5071025641025642,0.48357379795524125,0.44666666666666666,0.6133333333333333
config_11,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8266666666666667,0.8663366336633663,0.875,0.8706467661691543,0.5966666666666667,0.2985732165656002,0.3615982905982905,0.3201540888620381,0.5466666666666666,0.9533333333333334
config_12,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.4,1920,trackers/botsort.yaml,150,1.0,0.8433333333333334,0.8805970149253731,0.885,0.8827930174563591,0.6333333333333333,0.41268130018130017,0.4948034188034187,0.44284596183532043,0.4533333333333333,0.66
config_13,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.5,1920,trackers/bytetrack.yaml,100,1.5,0.8366666666666667,0.8871794871794871,0.865,0.8759493670886076,0.6133333333333333,0.33076043767956476,0.3987692307692308,0.3532579006359494,0.47333333333333333,0.6866666666666666
